responden_id,pandangan_tentang_selingkuh,religiusitas_pribadi,toleransi_selingkuh,nilai_kesetiaan
713,salah_total,tinggi,rendah,kuat
714,manusiawi,rendah,nol,kuat
715,salah_total,rendah,rendah,kuat
716,salah_total,tinggi,nol,lemah
717,manusiawi,rendah,nol,kuat
718,salah_total,tinggi,nol,kuat
719,manusiawi,rendah,rendah,lemah
720,manusiawi,tinggi,rendah,kuat
721,salah_total,rendah,nol,kuat
722,manusiawi,rendah,rendah,kuat
723,salah_total,rendah,rendah,kuat
724,salah_total,rendah,rendah,kuat
725,salah_total,tinggi,rendah,kuat
726,manusiawi,tinggi,nol,kuat
727,salah_total,tinggi,tinggi,kuat
728,salah_total,tinggi,nol,kuat
729,salah_total,rendah,nol,kuat
730,manusiawi,tinggi,rendah,lemah
731,salah_total,tinggi,nol,lemah
732,salah_total,tinggi,tinggi,kuat
733,salah_total,tinggi,nol,kuat
734,salah_total,rendah,nol,kuat
735,salah_total,rendah,tinggi,lemah
736,salah_total,rendah,nol,kuat
737,salah_total,tinggi,nol,lemah
738,salah_total,rendah,nol,kuat
739,manusiawi,tinggi,rendah,kuat
740,manusiawi,rendah,nol,lemah
741,salah_total,tinggi,nol,kuat
742,salah_total,tinggi,nol,kuat
743,salah_total,tinggi,tinggi,kuat
744,salah_total,rendah,nol,kuat
745,salah_total,rendah,nol,kuat
746,manusiawi,tinggi,rendah,lemah
747,salah_total,tinggi,rendah,kuat
748,manusiawi,rendah,nol,kuat
749,salah_total,tinggi,rendah,lemah
750,salah_total,rendah,nol,kuat
751,manusiawi,tinggi,nol,kuat
752,salah_total,tinggi,nol,kuat
753,salah_total,tinggi,nol,kuat
754,salah_total,tinggi,nol,lemah
755,salah_total,rendah,nol,kuat
756,manusiawi,tinggi,nol,kuat
757,salah_total,tinggi,rendah,lemah
758,salah_total,tinggi,rendah,kuat
759,manusiawi,tinggi,nol,kuat
760,salah_total,rendah,nol,kuat
761,salah_total,rendah,nol,lemah
762,manusiawi,tinggi,tinggi,kuat
763,salah_total,tinggi,rendah,kuat
764,salah_total,tinggi,rendah,lemah
765,manusiawi,rendah,nol,kuat
766,salah_total,rendah,nol,kuat
767,manusiawi,tinggi,nol,kuat
768,salah_total,tinggi,nol,kuat
769,manusiawi,tinggi,rendah,kuat
770,manusiawi,tinggi,rendah,kuat
771,salah_total,tinggi,rendah,kuat
772,salah_total,rendah,tinggi,kuat
773,salah_total,tinggi,nol,kuat
774,salah_total,rendah,tinggi,kuat
775,manusiawi,tinggi,rendah,kuat
776,manusiawi,tinggi,nol,kuat
777,manusiawi,tinggi,rendah,lemah
778,manusiawi,tinggi,nol,lemah
779,manusiawi,rendah,nol,lemah
780,manusiawi,rendah,nol,kuat
781,manusiawi,tinggi,nol,kuat
782,salah_total,tinggi,nol,kuat
783,manusiawi,rendah,nol,kuat
784,manusiawi,rendah,rendah,kuat
785,salah_total,rendah,rendah,kuat
786,manusiawi,tinggi,nol,kuat
787,salah_total,tinggi,nol,kuat
788,salah_total,rendah,tinggi,kuat
789,salah_total,rendah,nol,kuat
790,salah_total,tinggi,nol,kuat
791,salah_total,tinggi,rendah,kuat
792,salah_total,tinggi,nol,kuat
793,manusiawi,rendah,rendah,kuat
794,manusiawi,tinggi,nol,kuat
795,manusiawi,rendah,nol,kuat
796,salah_total,rendah,rendah,kuat
797,salah_total,tinggi,tinggi,kuat
798,manusiawi,tinggi,rendah,lemah
799,manusiawi,rendah,nol,kuat
800,manusiawi,tinggi,nol,lemah
801,salah_total,rendah,nol,kuat
802,salah_total,tinggi,rendah,lemah
803,manusiawi,rendah,nol,lemah
804,manusiawi,rendah,tinggi,lemah
805,salah_total,tinggi,nol,kuat
806,salah_total,tinggi,nol,kuat
807,salah_total,tinggi,nol,kuat
808,salah_total,tinggi,rendah,kuat
809,salah_total,tinggi,nol,lemah
810,salah_total,tinggi,nol,lemah
811,manusiawi,rendah,rendah,lemah
812,manusiawi,tinggi,nol,kuat
813,manusiawi,rendah,nol,kuat
814,manusiawi,tinggi,nol,kuat
815,salah_total,tinggi,tinggi,kuat
816,salah_total,tinggi,tinggi,kuat
817,salah_total,rendah,nol,kuat
818,manusiawi,rendah,nol,lemah
819,manusiawi,tinggi,rendah,lemah
820,salah_total,tinggi,rendah,kuat
821,salah_total,tinggi,nol,kuat
822,salah_total,tinggi,rendah,kuat
823,salah_total,tinggi,rendah,kuat
824,salah_total,tinggi,tinggi,kuat
825,manusiawi,tinggi,rendah,kuat
826,salah_total,rendah,nol,kuat
827,manusiawi,tinggi,rendah,lemah
828,salah_total,tinggi,nol,kuat
829,salah_total,tinggi,nol,lemah
830,salah_total,rendah,nol,kuat
831,manusiawi,tinggi,rendah,kuat
832,salah_total,tinggi,nol,lemah
833,manusiawi,tinggi,tinggi,kuat
834,salah_total,tinggi,rendah,kuat
835,manusiawi,tinggi,nol,kuat
836,salah_total,rendah,nol,lemah
837,salah_total,tinggi,nol,lemah
838,salah_total,rendah,rendah,kuat
839,salah_total,tinggi,nol,lemah
840,salah_total,tinggi,nol,lemah
841,salah_total,tinggi,nol,kuat
842,manusiawi,tinggi,rendah,kuat
843,manusiawi,tinggi,nol,lemah
844,salah_total,rendah,nol,kuat
845,manusiawi,tinggi,tinggi,kuat
846,manusiawi,tinggi,tinggi,kuat
847,manusiawi,tinggi,nol,kuat
848,salah_total,tinggi,nol,lemah
849,salah_total,tinggi,nol,kuat
850,salah_total,tinggi,rendah,kuat
851,salah_total,rendah,nol,kuat
852,salah_total,rendah,nol,kuat
853,salah_total,tinggi,nol,kuat
854,salah_total,tinggi,rendah,kuat
855,salah_total,rendah,rendah,kuat
856,salah_total,tinggi,rendah,kuat
857,manusiawi,tinggi,nol,kuat
858,salah_total,rendah,tinggi,lemah
859,salah_total,tinggi,rendah,kuat
860,salah_total,tinggi,rendah,kuat
861,salah_total,tinggi,nol,lemah
862,manusiawi,tinggi,nol,kuat
863,salah_total,tinggi,tinggi,kuat
864,salah_total,tinggi,tinggi,lemah
865,manusiawi,tinggi,nol,kuat
866,salah_total,tinggi,nol,kuat
867,salah_total,rendah,nol,kuat
868,salah_total,tinggi,nol,lemah
869,salah_total,rendah,nol,lemah
870,salah_total,tinggi,nol,kuat
871,salah_total,tinggi,rendah,kuat
872,salah_total,rendah,nol,kuat
873,salah_total,rendah,tinggi,kuat
874,salah_total,rendah,nol,kuat
875,manusiawi,tinggi,nol,kuat
876,manusiawi,tinggi,tinggi,lemah
877,salah_total,tinggi,rendah,lemah
878,manusiawi,tinggi,nol,kuat
879,salah_total,tinggi,nol,kuat
880,salah_total,rendah,nol,kuat
881,salah_total,rendah,rendah,kuat
882,salah_total,tinggi,rendah,kuat
883,salah_total,tinggi,nol,kuat
884,salah_total,rendah,nol,kuat
885,salah_total,rendah,nol,kuat
886,manusiawi,rendah,nol,kuat
887,salah_total,rendah,nol,kuat
888,salah_total,tinggi,tinggi,kuat
889,manusiawi,tinggi,rendah,lemah
890,salah_total,rendah,nol,kuat
891,salah_total,rendah,rendah,kuat
892,manusiawi,rendah,nol,kuat
893,salah_total,tinggi,nol,lemah
894,salah_total,tinggi,rendah,kuat
895,manusiawi,rendah,nol,kuat
896,manusiawi,tinggi,nol,kuat
897,salah_total,tinggi,nol,lemah
898,salah_total,tinggi,rendah,lemah
899,salah_total,rendah,rendah,kuat
900,salah_total,rendah,rendah,kuat
901,manusiawi,tinggi,nol,lemah
902,salah_total,tinggi,rendah,kuat
903,manusiawi,rendah,rendah,lemah
904,manusiawi,tinggi,rendah,lemah
905,salah_total,tinggi,rendah,kuat
906,salah_total,rendah,tinggi,lemah
907,salah_total,tinggi,nol,lemah
908,salah_total,tinggi,nol,kuat
909,manusiawi,rendah,rendah,kuat
910,salah_total,rendah,nol,kuat
911,salah_total,rendah,tinggi,kuat
912,manusiawi,rendah,nol,kuat
913,salah_total,rendah,nol,kuat
914,manusiawi,tinggi,tinggi,kuat
915,salah_total,rendah,nol,kuat
916,salah_total,rendah,nol,lemah
917,salah_total,rendah,nol,kuat
918,manusiawi,rendah,rendah,kuat
919,salah_total,tinggi,nol,lemah
920,manusiawi,rendah,nol,kuat
921,salah_total,tinggi,tinggi,lemah
922,salah_total,rendah,nol,kuat
923,salah_total,rendah,rendah,lemah
924,manusiawi,tinggi,nol,lemah
925,salah_total,tinggi,nol,lemah
926,salah_total,tinggi,rendah,kuat
927,salah_total,rendah,nol,kuat
928,manusiawi,tinggi,nol,kuat
929,salah_total,tinggi,rendah,lemah
930,manusiawi,rendah,nol,kuat
931,salah_total,rendah,rendah,kuat
932,salah_total,tinggi,nol,kuat
933,salah_total,rendah,rendah,kuat
934,salah_total,tinggi,nol,lemah
935,salah_total,tinggi,rendah,kuat
936,manusiawi,rendah,rendah,kuat
937,salah_total,rendah,rendah,kuat
938,salah_total,rendah,nol,kuat
939,salah_total,rendah,nol,kuat
940,salah_total,tinggi,rendah,kuat
941,salah_total,rendah,tinggi,lemah
942,salah_total,rendah,nol,kuat
943,manusiawi,rendah,rendah,kuat
944,manusiawi,tinggi,nol,kuat
945,salah_total,rendah,nol,kuat
946,salah_total,rendah,tinggi,kuat
947,salah_total,rendah,tinggi,kuat
948,salah_total,rendah,nol,kuat
949,salah_total,tinggi,nol,kuat
950,salah_total,tinggi,nol,kuat
951,manusiawi,rendah,nol,kuat
952,salah_total,tinggi,nol,kuat
953,salah_total,rendah,nol,kuat
954,salah_total,tinggi,nol,kuat
955,manusiawi,tinggi,nol,lemah
956,salah_total,tinggi,tinggi,kuat
957,salah_total,tinggi,nol,kuat
958,salah_total,tinggi,nol,kuat
959,manusiawi,tinggi,rendah,kuat
960,salah_total,rendah,tinggi,kuat
961,manusiawi,rendah,nol,kuat
962,salah_total,rendah,rendah,lemah
963,manusiawi,tinggi,tinggi,lemah
964,manusiawi,rendah,nol,lemah
965,manusiawi,rendah,rendah,kuat
966,manusiawi,tinggi,nol,lemah
967,salah_total,tinggi,tinggi,lemah
968,salah_total,rendah,nol,lemah
969,manusiawi,rendah,tinggi,kuat
970,salah_total,rendah,nol,kuat
971,salah_total,rendah,rendah,kuat
972,manusiawi,tinggi,nol,kuat
973,salah_total,rendah,tinggi,kuat
974,salah_total,tinggi,rendah,lemah
975,salah_total,rendah,nol,lemah
976,manusiawi,rendah,nol,lemah
977,manusiawi,tinggi,rendah,lemah
978,salah_total,tinggi,nol,kuat
979,salah_total,rendah,rendah,kuat
980,manusiawi,tinggi,nol,kuat
981,salah_total,rendah,nol,kuat
982,salah_total,tinggi,nol,lemah
983,manusiawi,rendah,nol,lemah
984,salah_total,tinggi,nol,kuat
985,salah_total,rendah,rendah,lemah
986,salah_total,tinggi,nol,kuat
987,manusiawi,tinggi,nol,kuat
988,salah_total,rendah,nol,lemah
989,salah_total,tinggi,tinggi,kuat
990,manusiawi,rendah,rendah,kuat
991,salah_total,tinggi,nol,kuat
992,salah_total,tinggi,tinggi,kuat
993,salah_total,tinggi,rendah,kuat
994,salah_total,rendah,tinggi,kuat
995,salah_total,tinggi,rendah,lemah
996,manusiawi,tinggi,nol,lemah
997,salah_total,rendah,rendah,kuat
998,manusiawi,rendah,nol,lemah
999,manusiawi,tinggi,nol,kuat
1000,manusiawi,tinggi,nol,lemah
1001,salah_total,tinggi,nol,kuat
1002,manusiawi,rendah,nol,lemah
1003,manusiawi,rendah,nol,kuat
1004,salah_total,tinggi,rendah,kuat
1005,salah_total,rendah,nol,lemah
1006,manusiawi,rendah,nol,kuat
1007,manusiawi,tinggi,rendah,lemah
1008,salah_total,rendah,nol,kuat
1009,manusiawi,rendah,tinggi,kuat
1010,salah_total,rendah,nol,kuat
1011,salah_total,tinggi,rendah,lemah
1012,salah_total,tinggi,nol,lemah
1013,salah_total,tinggi,nol,kuat
1014,salah_total,tinggi,tinggi,lemah
1015,salah_total,rendah,tinggi,kuat
1016,salah_total,tinggi,rendah,lemah
1017,salah_total,tinggi,rendah,kuat
1018,manusiawi,tinggi,nol,kuat
1019,salah_total,tinggi,rendah,kuat
1020,manusiawi,tinggi,nol,lemah
1021,manusiawi,tinggi,nol,kuat
1022,manusiawi,rendah,nol,kuat
1023,salah_total,rendah,nol,kuat
1024,manusiawi,rendah,rendah,kuat
1025,salah_total,tinggi,nol,kuat
1026,salah_total,tinggi,rendah,kuat
1027,manusiawi,tinggi,nol,lemah
1028,manusiawi,tinggi,rendah,kuat
1029,salah_total,tinggi,nol,lemah
1030,salah_total,tinggi,nol,kuat
1031,salah_total,tinggi,nol,kuat
1032,salah_total,rendah,nol,kuat
1033,salah_total,tinggi,nol,kuat
1034,manusiawi,tinggi,nol,kuat
1035,manusiawi,tinggi,nol,kuat
1036,manusiawi,tinggi,nol,kuat
1037,salah_total,rendah,tinggi,kuat
1038,salah_total,rendah,nol,kuat
1039,salah_total,rendah,rendah,kuat
1040,salah_total,rendah,nol,lemah
1041,salah_total,tinggi,rendah,kuat
1042,salah_total,tinggi,nol,lemah
1043,salah_total,rendah,nol,kuat
1044,manusiawi,rendah,rendah,kuat
1045,salah_total,tinggi,nol,kuat
1046,manusiawi,rendah,nol,lemah
1047,salah_total,rendah,nol,kuat
1048,salah_total,rendah,nol,kuat
1049,salah_total,tinggi,rendah,kuat
1050,salah_total,tinggi,rendah,lemah
1051,salah_total,tinggi,nol,kuat
1052,salah_total,tinggi,rendah,kuat
1053,manusiawi,tinggi,nol,kuat
1054,salah_total,tinggi,rendah,kuat
1055,manusiawi,rendah,tinggi,kuat
1056,manusiawi,rendah,nol,lemah
1057,salah_total,rendah,rendah,kuat
1058,salah_total,rendah,rendah,kuat
1059,salah_total,rendah,nol,kuat
1060,salah_total,tinggi,rendah,kuat
1061,salah_total,rendah,nol,kuat
1062,salah_total,rendah,rendah,kuat
1063,salah_total,tinggi,nol,kuat
1064,manusiawi,tinggi,nol,kuat
1065,salah_total,rendah,rendah,lemah
1066,manusiawi,tinggi,nol,lemah
1067,salah_total,tinggi,nol,kuat
1068,salah_total,rendah,tinggi,kuat
1069,salah_total,tinggi,nol,kuat
1070,manusiawi,rendah,rendah,kuat
1071,manusiawi,tinggi,nol,lemah
1072,manusiawi,rendah,nol,kuat
1073,salah_total,rendah,rendah,lemah
1074,salah_total,rendah,nol,kuat
1075,salah_total,tinggi,nol,lemah
1076,salah_total,tinggi,nol,kuat
1077,salah_total,tinggi,nol,kuat
1078,salah_total,tinggi,tinggi,kuat
1079,manusiawi,tinggi,nol,kuat
1080,manusiawi,rendah,nol,lemah
1081,salah_total,rendah,nol,lemah
1082,manusiawi,rendah,tinggi,lemah
1083,salah_total,tinggi,rendah,kuat
1084,salah_total,rendah,tinggi,lemah
1085,manusiawi,tinggi,tinggi,lemah
1086,salah_total,rendah,tinggi,kuat
1087,manusiawi,tinggi,nol,kuat
1088,salah_total,tinggi,nol,kuat
1089,manusiawi,tinggi,rendah,kuat
1090,manusiawi,tinggi,nol,lemah
1091,salah_total,tinggi,nol,kuat
1092,manusiawi,tinggi,nol,kuat
1093,manusiawi,tinggi,rendah,kuat
1094,salah_total,tinggi,nol,kuat
1095,salah_total,tinggi,rendah,kuat
1096,manusiawi,tinggi,rendah,kuat
1097,salah_total,tinggi,nol,kuat
1098,manusiawi,tinggi,nol,kuat
1099,salah_total,tinggi,nol,kuat
1100,salah_total,tinggi,nol,lemah
1101,manusiawi,tinggi,nol,lemah
1102,salah_total,tinggi,nol,kuat
1103,salah_total,rendah,tinggi,lemah
1104,salah_total,tinggi,nol,kuat
1105,manusiawi,tinggi,rendah,kuat
1106,salah_total,tinggi,nol,lemah
1107,salah_total,tinggi,rendah,kuat
1108,manusiawi,tinggi,nol,lemah
1109,salah_total,rendah,nol,kuat
1110,salah_total,tinggi,nol,kuat
1111,salah_total,rendah,nol,kuat
1112,salah_total,tinggi,nol,kuat
1113,salah_total,tinggi,nol,kuat
1114,salah_total,rendah,nol,kuat
1115,salah_total,tinggi,rendah,kuat
1116,salah_total,rendah,tinggi,kuat
1117,salah_total,rendah,rendah,lemah
1118,manusiawi,rendah,nol,kuat
1119,salah_total,tinggi,rendah,kuat
1120,salah_total,tinggi,nol,kuat
1121,salah_total,tinggi,rendah,kuat
1122,salah_total,rendah,nol,lemah
1123,salah_total,rendah,nol,kuat
1124,salah_total,tinggi,nol,kuat
1125,salah_total,tinggi,nol,kuat
1126,salah_total,tinggi,rendah,kuat
1127,salah_total,tinggi,nol,lemah
1128,salah_total,rendah,nol,kuat
1129,manusiawi,rendah,nol,kuat
1130,manusiawi,tinggi,rendah,kuat
1131,manusiawi,rendah,nol,kuat
1132,salah_total,tinggi,tinggi,lemah
1133,salah_total,tinggi,rendah,lemah
1134,salah_total,tinggi,rendah,lemah
1135,manusiawi,rendah,nol,kuat
1136,salah_total,rendah,nol,kuat
1137,salah_total,tinggi,nol,kuat
1138,salah_total,tinggi,nol,kuat
1139,salah_total,tinggi,tinggi,lemah
1140,manusiawi,tinggi,rendah,kuat
1141,salah_total,rendah,nol,kuat
1142,salah_total,tinggi,rendah,kuat
1143,salah_total,rendah,nol,lemah
1144,manusiawi,tinggi,nol,lemah
1145,salah_total,tinggi,nol,kuat
1146,salah_total,tinggi,nol,kuat
1147,manusiawi,tinggi,rendah,lemah
1148,salah_total,tinggi,nol,kuat
1149,salah_total,tinggi,rendah,kuat
1150,salah_total,tinggi,nol,kuat
1151,salah_total,rendah,tinggi,lemah
1152,salah_total,tinggi,tinggi,kuat
1153,salah_total,tinggi,rendah,kuat
1154,salah_total,tinggi,rendah,lemah
1155,manusiawi,tinggi,nol,kuat
1156,manusiawi,rendah,nol,kuat
1157,salah_total,tinggi,nol,kuat
1158,manusiawi,rendah,nol,lemah
1159,manusiawi,tinggi,rendah,kuat
1160,salah_total,tinggi,nol,kuat
1161,salah_total,tinggi,rendah,kuat
1162,manusiawi,tinggi,rendah,kuat
1163,salah_total,rendah,nol,kuat
1164,salah_total,tinggi,rendah,kuat
1165,salah_total,rendah,nol,kuat
1166,salah_total,tinggi,nol,lemah
1167,manusiawi,tinggi,nol,kuat
1168,salah_total,tinggi,nol,kuat
1169,salah_total,tinggi,nol,kuat
1170,salah_total,tinggi,rendah,kuat
1171,salah_total,tinggi,tinggi,lemah
1172,salah_total,tinggi,tinggi,kuat
1173,salah_total,tinggi,nol,kuat
1174,salah_total,tinggi,tinggi,kuat
1175,salah_total,tinggi,tinggi,kuat
1176,salah_total,tinggi,nol,kuat
1177,salah_total,tinggi,tinggi,kuat
1178,salah_total,tinggi,tinggi,lemah
1179,salah_total,rendah,rendah,kuat
1180,salah_total,tinggi,nol,lemah
1181,manusiawi,tinggi,rendah,kuat
1182,salah_total,rendah,nol,kuat
1183,salah_total,tinggi,tinggi,lemah
1184,salah_total,tinggi,nol,lemah
1185,salah_total,rendah,tinggi,kuat
1186,manusiawi,rendah,nol,kuat
1187,salah_total,rendah,nol,lemah
1188,manusiawi,tinggi,tinggi,lemah
1189,salah_total,rendah,tinggi,lemah
1190,manusiawi,rendah,nol,kuat
1191,manusiawi,rendah,tinggi,kuat
1192,manusiawi,rendah,tinggi,kuat
1193,salah_total,tinggi,tinggi,kuat
1194,manusiawi,tinggi,rendah,kuat
1195,salah_total,rendah,tinggi,kuat
1196,salah_total,tinggi,rendah,kuat
1197,salah_total,rendah,tinggi,lemah
1198,salah_total,tinggi,nol,kuat
1199,salah_total,rendah,nol,kuat
1200,manusiawi,tinggi,tinggi,kuat
1201,manusiawi,rendah,rendah,kuat
1202,salah_total,tinggi,rendah,kuat
1203,salah_total,tinggi,tinggi,kuat
1204,salah_total,rendah,rendah,lemah
1205,salah_total,tinggi,nol,kuat
1206,salah_total,tinggi,nol,kuat
1207,manusiawi,tinggi,nol,lemah
1208,manusiawi,rendah,rendah,kuat
1209,salah_total,tinggi,nol,kuat
1210,manusiawi,rendah,nol,kuat
1211,manusiawi,tinggi,nol,kuat
1212,salah_total,rendah,tinggi,kuat
1213,salah_total,tinggi,nol,lemah
1214,salah_total,rendah,nol,kuat
1215,salah_total,tinggi,rendah,kuat
1216,salah_total,tinggi,nol,kuat
1217,salah_total,tinggi,nol,kuat
1218,salah_total,tinggi,nol,lemah
1219,manusiawi,tinggi,rendah,kuat
1220,manusiawi,tinggi,nol,kuat
1221,salah_total,rendah,tinggi,kuat
1222,salah_total,tinggi,nol,kuat
1223,salah_total,rendah,tinggi,kuat
1224,salah_total,tinggi,rendah,kuat
1225,manusiawi,tinggi,rendah,lemah
1226,salah_total,tinggi,nol,kuat
1227,manusiawi,tinggi,rendah,lemah
1228,salah_total,rendah,rendah,lemah
1229,salah_total,tinggi,rendah,kuat
1230,salah_total,tinggi,rendah,kuat
1231,manusiawi,tinggi,nol,kuat
1232,salah_total,tinggi,nol,kuat
1233,manusiawi,tinggi,nol,kuat
1234,manusiawi,tinggi,tinggi,kuat
1235,salah_total,rendah,rendah,kuat
1236,salah_total,rendah,nol,kuat
1237,salah_total,tinggi,nol,kuat
1238,manusiawi,tinggi,rendah,kuat
1239,salah_total,tinggi,nol,lemah
1240,salah_total,tinggi,rendah,kuat
1241,manusiawi,rendah,nol,lemah
1242,salah_total,tinggi,nol,lemah
1243,salah_total,tinggi,rendah,kuat
1244,salah_total,tinggi,nol,kuat
1245,salah_total,tinggi,nol,kuat
1246,salah_total,rendah,rendah,kuat
1247,salah_total,rendah,nol,kuat
1248,salah_total,rendah,rendah,kuat
1249,salah_total,tinggi,rendah,lemah
1250,manusiawi,tinggi,nol,kuat
1251,salah_total,tinggi,nol,kuat
1252,salah_total,rendah,rendah,kuat
1253,salah_total,rendah,rendah,kuat
1254,salah_total,rendah,rendah,kuat
1255,salah_total,tinggi,nol,lemah
1256,salah_total,tinggi,rendah,kuat
1257,manusiawi,tinggi,nol,kuat
1258,salah_total,tinggi,tinggi,kuat
1259,salah_total,rendah,rendah,kuat
1260,salah_total,rendah,rendah,kuat
1261,salah_total,tinggi,rendah,lemah
1262,salah_total,tinggi,nol,kuat
1263,manusiawi,rendah,nol,kuat
1264,salah_total,tinggi,nol,kuat
1265,salah_total,rendah,rendah,kuat
1266,manusiawi,tinggi,tinggi,lemah
1267,manusiawi,tinggi,rendah,lemah
1268,manusiawi,rendah,nol,lemah
1269,salah_total,tinggi,rendah,kuat
1270,salah_total,rendah,nol,kuat
1271,manusiawi,tinggi,nol,kuat
1272,manusiawi,rendah,nol,kuat
1273,salah_total,tinggi,tinggi,kuat
1274,manusiawi,rendah,nol,kuat
1275,salah_total,tinggi,nol,kuat
1276,salah_total,rendah,nol,kuat
1277,manusiawi,tinggi,rendah,kuat
1278,manusiawi,rendah,nol,kuat
1279,manusiawi,tinggi,tinggi,lemah
1280,salah_total,rendah,nol,lemah
1281,salah_total,rendah,nol,kuat
1282,salah_total,tinggi,rendah,kuat
1283,manusiawi,tinggi,nol,kuat
1284,salah_total,tinggi,rendah,lemah
1285,manusiawi,rendah,rendah,kuat
1286,manusiawi,tinggi,rendah,kuat
1287,salah_total,tinggi,tinggi,kuat
1288,manusiawi,tinggi,rendah,kuat
1289,manusiawi,rendah,rendah,lemah
1290,manusiawi,tinggi,tinggi,lemah
1291,salah_total,rendah,nol,kuat
1292,manusiawi,rendah,tinggi,lemah
1293,salah_total,rendah,nol,kuat
1294,salah_total,tinggi,nol,kuat
1295,manusiawi,tinggi,rendah,kuat
1296,salah_total,tinggi,nol,kuat
1297,salah_total,rendah,nol,kuat
1298,salah_total,tinggi,nol,kuat
1299,salah_total,rendah,nol,lemah
1300,manusiawi,tinggi,nol,kuat
1301,manusiawi,tinggi,nol,kuat
1302,salah_total,tinggi,rendah,kuat
1303,salah_total,rendah,rendah,kuat
1304,manusiawi,tinggi,rendah,kuat
1305,salah_total,tinggi,nol,kuat
1306,salah_total,tinggi,tinggi,lemah
1307,salah_total,tinggi,nol,kuat
1308,salah_total,tinggi,nol,kuat
1309,salah_total,tinggi,tinggi,kuat
1310,salah_total,tinggi,nol,kuat
1311,salah_total,rendah,tinggi,kuat
1312,salah_total,rendah,nol,kuat
1313,manusiawi,tinggi,rendah,lemah
1314,manusiawi,rendah,nol,kuat
1315,manusiawi,rendah,tinggi,kuat
1316,salah_total,rendah,nol,kuat
1317,manusiawi,tinggi,nol,kuat
1318,manusiawi,rendah,nol,lemah
1319,manusiawi,tinggi,rendah,kuat
1320,salah_total,tinggi,nol,lemah
1321,salah_total,tinggi,tinggi,kuat
1322,manusiawi,tinggi,tinggi,lemah
1323,salah_total,rendah,rendah,kuat
1324,salah_total,rendah,rendah,lemah
1325,salah_total,rendah,tinggi,kuat
1326,salah_total,tinggi,tinggi,kuat
1327,salah_total,tinggi,tinggi,kuat
1328,manusiawi,rendah,tinggi,kuat
1329,manusiawi,tinggi,nol,kuat
1330,salah_total,rendah,nol,kuat
1331,manusiawi,tinggi,rendah,kuat
1332,salah_total,rendah,nol,kuat
1333,salah_total,rendah,nol,kuat
1334,salah_total,rendah,rendah,kuat
1335,salah_total,rendah,rendah,kuat
1336,salah_total,tinggi,rendah,lemah
1337,manusiawi,tinggi,tinggi,lemah
1338,manusiawi,rendah,rendah,kuat
1339,salah_total,tinggi,nol,kuat
1340,salah_total,rendah,nol,kuat
1341,salah_total,tinggi,nol,kuat
1342,manusiawi,rendah,nol,kuat
1343,salah_total,rendah,nol,lemah
1344,salah_total,rendah,nol,lemah
1345,salah_total,tinggi,rendah,kuat
1346,salah_total,tinggi,rendah,lemah
1347,manusiawi,rendah,rendah,lemah
1348,salah_total,rendah,tinggi,kuat
1349,manusiawi,rendah,nol,kuat
1350,manusiawi,rendah,rendah,kuat
1351,manusiawi,rendah,nol,kuat
1352,manusiawi,rendah,tinggi,kuat
1353,manusiawi,tinggi,nol,kuat
1354,salah_total,rendah,nol,lemah
1355,manusiawi,tinggi,nol,lemah
1356,manusiawi,rendah,rendah,lemah
1357,salah_total,rendah,nol,lemah
1358,salah_total,tinggi,tinggi,kuat
1359,salah_total,tinggi,nol,kuat
1360,salah_total,rendah,nol,kuat
1361,salah_total,rendah,nol,kuat
1362,salah_total,rendah,nol,kuat
1363,manusiawi,rendah,nol,kuat
1364,salah_total,tinggi,rendah,kuat
1365,manusiawi,tinggi,nol,lemah
1366,manusiawi,tinggi,nol,lemah
1367,salah_total,rendah,nol,kuat
1368,salah_total,tinggi,nol,kuat
1369,salah_total,rendah,nol,kuat
1370,manusiawi,tinggi,rendah,kuat
1371,manusiawi,rendah,nol,lemah
1372,manusiawi,tinggi,rendah,kuat
1373,manusiawi,rendah,rendah,kuat
1374,salah_total,tinggi,nol,kuat
1375,salah_total,tinggi,nol,kuat
1376,salah_total,tinggi,tinggi,lemah
1377,salah_total,rendah,nol,kuat
1378,salah_total,tinggi,rendah,lemah
1379,manusiawi,tinggi,nol,kuat
1380,salah_total,rendah,rendah,kuat
1381,salah_total,tinggi,rendah,kuat
1382,manusiawi,tinggi,nol,lemah
1383,manusiawi,tinggi,nol,kuat
1384,salah_total,rendah,tinggi,lemah
1385,manusiawi,tinggi,rendah,kuat
1386,salah_total,tinggi,rendah,kuat
1387,manusiawi,rendah,nol,kuat
1388,manusiawi,tinggi,nol,kuat
1389,salah_total,tinggi,rendah,lemah
1390,manusiawi,tinggi,nol,kuat
1391,manusiawi,rendah,tinggi,kuat
1392,salah_total,tinggi,nol,kuat
1393,manusiawi,rendah,rendah,kuat
1394,manusiawi,rendah,nol,kuat
1395,manusiawi,tinggi,rendah,kuat
1396,manusiawi,rendah,nol,lemah
1397,salah_total,tinggi,rendah,lemah
1398,salah_total,rendah,tinggi,kuat
1399,salah_total,tinggi,nol,kuat
1400,salah_total,tinggi,nol,kuat
1401,manusiawi,tinggi,nol,kuat
1402,salah_total,tinggi,rendah,kuat
1403,salah_total,tinggi,nol,kuat
1404,salah_total,tinggi,nol,lemah
1405,salah_total,rendah,nol,lemah
